Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2.01405E+12,28-Apr-14,25-Sep-13,FLL,Ft. Lauderdale-Hollywood International,Spirit Airlines,Property Damage,Checkpoint,Computer & Accessories,-,-
2.01405E+12,29-Apr-14,10-Apr-14,ORD,Chicago O'Hare International Airport,American Eagle  ,Property Damage,Checked Baggage,Clothing,50.00,Approve in Full
2.01405E+12,1-May-14,22-Apr-14,RNO,Reno/Tahoe International,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.00,Deny
2.01405E+12,5-May-14,19-Mar-14,PBI,Palm Beach International,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2.01405E+12,1-May-14,22-Apr-14,SCC,Deadhorse,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,30.00,Approve in Full
2.01405E+12,1-May-14,10-Apr-14,TPA,Tampa International,UAL  ,Property Damage,Checked Baggage,Home Decor,0.00,Deny
2.01405E+12,1-May-14,15-Feb-14,SEA,Seattle-Tacoma International,Air France,Property Damage,Checked Baggage,-,45.00,Approve in Full
2.01405E+12,1-May-14,30-Mar-14,MFE,McAllen-Miller International,American Airlines  ,Property Damage,Checkpoint,Personal Accessories,-,-
2.01405E+12,1-May-14,11-Apr-14,CHS,Charleston International,USAir  ,Property Damage,Checked Baggage,-,0.00,Deny
2.01405E+12,5-May-14,28-Apr-14,GCC,Gillette-Campbell County,-,Motor Vehicle,Motor Vehicle,-,906.30,Approve in Full
2.01405E+12,1-May-14,30-Apr-14,MIA,Miami International Airport,American Airlines  ,Passenger Property Loss,Checkpoint,Currency,0.00,Deny
2.01405E+12,1-May-14,14-Apr-14,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Clothing; Household Items,80.00,Approve in Full
2.01405E+12,1-May-14,24-Apr-14,GRR,Gerald R. Ford International Airport,Southwest Airlines  ,Property Damage,Checked Baggage,Computer & Accessories,646.45,Settle
2.01405E+12,1-May-14,11-Apr-14,DEN,Denver International Airport ,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.00,Deny
2.01405E+12,6-May-14,13-Apr-14,ATL,Hartsfield-Jackson Atlanta International Airport,-,Property Damage,Checkpoint,Computer & Accessories,-,-
2.01405E+12,30-Apr-14,22-Apr-14,BOS,Boston (Logan) International Airport ,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.00,Deny
2.01405E+12,1-May-14,20-Jan-13,SHV,Shreveport Regional,-,Personal Injury,Checkpoint,-,0.00,Deny
2.01405E+12,28-Apr-14,16-Apr-14,DEN,Denver International Airport ,UAL  ,Passenger Property Loss,Checkpoint,Other,0.00,Deny
2.01405E+12,1-May-14,12-Jan-14,LAX,Los Angeles International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,Medical/Science,-,-
2.01405E+12,29-Apr-14,11-Apr-14,-,-,-,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,-
2.01405E+12,28-Apr-14,25-Oct-13,FLL,Ft. Lauderdale-Hollywood International,Spirit Airlines,Property Damage,Checkpoint,Computer & Accessories,-,-
2.01405E+12,30-Apr-14,28-Apr-14,ONT,Ontario International,Southwest Airlines  ,Property Damage,Checkpoint,Personal Electronics,428.00,Settle
2.01405E+12,1-May-14,11-Apr-14,EWR,Newark International Airport,Swiss Air  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches; Jewelry & Watches; Travel Accessories,0.00,Deny
2.01405E+12,28-Apr-14,5-Apr-14,TPA,Tampa International,UAL  ,Passenger Property Loss,Checked Baggage,Food & Drink,25.00,Approve in Full
2.01405E+12,1-May-14,10-Apr-14,HNL,Honolulu International Airport,UAL  ,Property Damage,Checked Baggage,Other,0.00,Deny
2.01405E+12,28-Apr-14,8-Apr-14,MCO,Orlando International Airport,USAir  ,Passenger Property Loss,Checked Baggage,Medical/Science,397.80,Settle
2.01405E+12,30-Apr-14,18-Apr-14,IAD,Washington Dulles International,Virgin America,Passenger Property Loss,Checked Baggage,Other,0.00,Deny
2.01405E+12,1-May-14,25-Apr-14,MDW,Midway International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Personal Electronics,-,-
2.01405E+12,30-Apr-14,26-Apr-14,SJU,Luis Munoz Marin International,Jet Blue,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0.00,Deny
2.01405E+12,6-May-14,25-Mar-14,IAD,Washington Dulles International,Iceland Air  ,Property Damage,Checked Baggage,"Books, Magazines & Other; Clothing",0.00,Deny
2.01405E+12,30-Apr-14,14-Apr-14,HOU,William P. Hobby,Southwest Airlines  ,Property Damage,Checked Baggage,Clothing,0.00,Deny
2.01405E+12,6-May-14,8-Jan-14,ORF,Norfolk International,USAir  ,Passenger Property Loss,Checked Baggage,Personal Electronics; Personal Electronics,0.00,Deny
2.01405E+12,30-Apr-14,6-Apr-14,EWR,Newark International Airport,British Airways  ,Passenger Property Loss,Checked Baggage,Cameras,1000.00,Approve in Full
2.01405E+12,1-May-14,31-Mar-14,LAX,Los Angeles International Airport ,Qantas Airlines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Computer & Accessories,-,-
2.01405E+12,1-May-14,27-Apr-14,PHL,Philadelphia International Airport,USAir  ,Property Damage,Checked Baggage,Other,0.00,Deny
2.01405E+12,6-May-14,30-Mar-14,MEM,Memphis International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,12.00,Approve in Full
2.01405E+12,1-May-14,13-Apr-14,GRR,Gerald R. Ford International Airport,Delta Air Lines  ,Property Damage,Checkpoint,Baggage/Cases/Purses,527.88,Approve in Full
2.01405E+12,29-Apr-14,15-Mar-14,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.00,Deny
2.01405E+12,28-Apr-14,12-Apr-14,MSY,New Orleans International,Southwest Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.00,Deny
2.01405E+12,30-Apr-14,10-Apr-14,BOS,Boston (Logan) International Airport ,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0.00,Deny
2.01405E+12,30-Apr-14,20-Apr-14,FLL,Ft. Lauderdale-Hollywood International,Southwest Airlines  ,Passenger Property Loss,Checkpoint,Personal Electronics,-,-
2.01405E+12,28-Apr-14,14-Apr-14,LGA,LaGuardia ,USAir  ,Passenger Property Loss,Checkpoint,Clothing,0.00,Deny
2.01405E+12,1-May-14,19-Apr-14,EWR,Newark International Airport,Jet Blue,Property Damage,Checkpoint,Medical/Science,-,-
2.01405E+12,1-May-14,17-Apr-14,AUS,Austin-Bergstrom International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,10.82,Approve in Full
2.01405E+12,2-May-14,23-Apr-14,AUS,Austin-Bergstrom International Airport,Southwest Airlines  ,Property Damage,Checked Baggage,Other,65.00,Approve in Full
2.01405E+12,1-May-14,11-Aug-12,EWR,Newark International Airport,UAL  ,Property Damage,Checkpoint,Computer & Accessories,352.59,Settle
2.01405E+12,1-May-14,19-Apr-14,TPA,Tampa International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Home Decor,0.00,Deny
2.01405E+12,1-May-14,6-Apr-14,OAK,Metropolitan Oakland International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Personal Electronics,0.00,Deny
2.01405E+12,1-May-14,29-Mar-14,IAD,Washington Dulles International,UAL  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,443.68,Settle
2.01405E+12,2-May-14,25-Apr-14,CAE,Columbia Metropolitan,Delta Air Lines  ,Property Damage,Checked Baggage,Travel Accessories,36.95,Approve in Full
2.01405E+12,2-May-14,3-Apr-14,IND,Indianapolis International,American Airlines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,70.00,Settle
2.01405E+12,2-May-14,1-May-14,FLL,Ft. Lauderdale-Hollywood International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Currency,-,-
2.01405E+12,7-May-14,25-Mar-14,MCO,Orlando International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Automobile Parts & Accessories,0.00,Deny
2.01405E+12,2-May-14,1-May-14,DFW,Dallas-Fort Worth International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,0.00,Deny
2.01405E+12,29-Apr-14,22-Jan-14,CID,Eastern Iowa,American Airlines  ,Property Damage,Checkpoint,Computer & Accessories,317.13,Settle
2.01405E+12,2-May-14,15-Mar-14,EWR,Newark International Airport,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing; Food & Drink,148.93,Approve in Full
2.01405E+12,1-May-14,18-Mar-14,HNL,Honolulu International Airport,UAL  ,Passenger Property Loss,Checkpoint,Personal Electronics,0.00,Deny
2.01405E+12,1-May-14,10-Apr-14,ORD,Chicago O'Hare International Airport,British Airways  ,Passenger Property Loss,Checked Baggage,Clothing,0.00,Deny
2.01405E+12,2-May-14,9-Apr-14,PHX,Phoenix Sky Harbor International,USAir  ,Passenger Property Loss,Checked Baggage,Travel Accessories,15.00,Approve in Full
2.01405E+12,1-May-14,4-Apr-14,JFK,John F. Kennedy International,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,75.00,Approve in Full
